,sslpm1,sslpm2,slpm_head1,slpm_head2,slpm_body1,slpm_body2,slpm_leg1,slpm_leg2,slpm_distance1,slpm_distance2,slpm_clinch1,slpm_clinch2,slpm_ground1,slpm_ground2,ssapm1,ssapm2,sspercent1,sspercent2,kdpm1,kdpm2,sapm1,sapm2,sdpm1,sdpm2,tdpm1,tdpm2,tdam1,tdam2,tda1,tda2,ctr1,ctr2,sbpm1,sbpm2,revpm1,revpm2,Height1,Height2,Weight1,Weight2,Stance 1_Open,Stance 1_Orthodox,Stance 1_Southpaw,Stance 1_Switch,Stance 1_Sideways,Stance 2_Open,Stance 2_Orthodox,Stance 2_Southpaw,Stance 2_Switch,Stance 2_Sideways,Wins 1,Losses 1,Wins 2,Losses 2,kos1,subs1,decs1,lkos1,lsubs1,ldecs1,kos2,subs2,decs2,lkos2,lsubs2,ldecs2
5973,1.75,1.625,0.875,0.75,0.5,0.875,0.375,0.0,1.375,1.5,0.0,0.125,0.375,0.0,5.0,8.375,35,19,0.0,0.0,1.75,1.75,6.75,3.25,0.375,0.0,0.625,0.0,0.0,0.4,0,0,0.625,0.0,0.125,0.0,71.0,75.0,225.0,235.0,0,1,0,0,0.0,0,1,0,0,0,25,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0
5972,2.608695652173913,0.8695652173913043,1.7391304347826086,0.0,0.2898550724637681,0.8695652173913043,0.5797101449275363,0.0,0.5797101449275363,0.0,1.4492753623188406,0.8695652173913043,0.5797101449275363,0.0,4.63768115942029,1.4492753623188406,56,60,0.0,0.0,2.608695652173913,2.608695652173913,0.5797101449275363,2.028985507246377,0.2898550724637681,0.0,0.2898550724637681,0.0,0.0,0.0,0,0,0.2898550724637681,0.0,0.0,0.0,72.0,73.0,199.0,185.0,0,1,0,0,0.0,0,1,0,0,0,12,7,85,16,0,0,0,0,0,0,0,0,0,0,0,0
5971,1.4615384615384615,1.8461538461538463,0.15384615384615385,0.15384615384615385,0.9230769230769231,1.5384615384615385,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.07692307692307693,1.1538461538461537,1.7692307692307692,0.0,0.0,2.6153846153846154,3.3076923076923075,55,55,0.0,0.0,1.4615384615384615,1.4615384615384615,1.4615384615384615,1.1538461538461537,0.07692307692307693,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.0,0.8888888888888888,0,0,0.0,0.15384615384615385,0.0,0.07692307692307693,70.0,66.0,170.0,170.0,0,1,0,0,0.0,0,1,0,0,0,23,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
5970,9.545454545454545,1.3636363636363635,9.545454545454545,0.0,0.0,0.0,0.0,1.3636363636363635,9.545454545454545,1.3636363636363635,0.0,0.0,0.0,0.0,17.727272727272727,2.727272727272727,53,50,1.3636363636363635,0.0,9.545454545454545,9.545454545454545,1.3636363636363635,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,72.0,71.0,185.0,205.0,0,0,1,0,0.0,0,1,0,0,0,15,5,30,6,0,0,0,0,0,0,0,0,0,0,0,0
5969,5.25,4.25,3.5,0.875,1.125,1.75,0.625,1.625,2.625,2.5,2.375,1.75,0.25,0.0,16.875,7.875,31,53,0.125,0.0,5.25,5.25,3.625,11.625,0.0,0.0,0.0,0.75,1.0,0.0,0,0,0.125,0.0,0.0,0.0,66.0,65.0,170.0,170.0,0,1,0,0,0.0,0,1,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5968,3.018867924528302,0.5031446540880503,1.2578616352201257,0.37735849056603776,0.6289308176100629,0.12578616352201258,1.1320754716981132,0.0,1.2578616352201257,0.0,1.7610062893081762,0.0,0.0,0.5031446540880503,4.654088050314465,3.270440251572327,64,15,0.0,0.0,3.018867924528302,3.018867924528302,2.7672955974842766,1.6352201257861636,0.12578616352201258,0.12578616352201258,0.12578616352201258,0.12578616352201258,0.0,0.0,0,0,0.5031446540880503,0.0,0.0,0.0,72.0,68.0,185.0,194.0,0,1,0,0,0.0,0,1,0,0,0,21,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0
5967,2.1844660194174756,0.0,1.8932038834951457,0.0,0.2912621359223301,0.0,0.0,0.0,0.14563106796116504,0.0,0.0,0.0,2.0388349514563107,0.0,4.368932038834951,0.2912621359223301,50,0,0.0,0.0,2.1844660194174756,2.1844660194174756,0.2912621359223301,2.1844660194174756,0.2912621359223301,0.0,0.2912621359223301,0.2912621359223301,1.0,0.0,0,0,0.0,0.14563106796116504,0.0,0.0,71.0,70.29345904537419,170.0,172.83602900167318,0,1,0,0,0.0,0,1,0,0,0,24,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5966,4.92239467849224,1.1973392461197339,4.656319290465632,0.6651884700665188,0.2660753880266075,0.0,0.0,0.532150776053215,1.5964523281596452,0.9312638580931264,0.9312638580931264,0.13303769401330376,2.3946784922394677,0.13303769401330376,10.110864745011087,3.3259423503325944,48,36,0.0,0.0,4.92239467849224,4.92239467849224,2.12860310421286,5.188470066518847,0.7982261640798226,0.0,0.9312638580931264,0.0,0.0,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,75.0,71.0,205.0,199.0,0,1,0,0,0.0,0,1,0,0,0,5,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0
5965,2.076923076923077,1.4615384615384615,0.6923076923076923,0.38461538461538464,0.3076923076923077,0.07692307692307693,1.0769230769230769,1.0,1.5384615384615385,1.2307692307692308,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.07692307692307693,5.461538461538462,6.769230769230769,38,21,0.0,0.0,2.076923076923077,2.076923076923077,5.3076923076923075,3.3846153846153846,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.8333333333333334,0.0,0,0,0.0,0.07692307692307693,0.0,0.0,70.0,68.0,170.0,170.0,0,1,0,0,0.0,0,1,0,0,0,24,5,38,18,0,0,1,0,0,0,0,0,0,0,0,0
5964,4.275862068965517,3.1724137931034484,2.896551724137931,2.206896551724138,0.41379310344827586,0.5517241379310345,0.9655172413793104,0.41379310344827586,2.4827586206896552,0.8275862068965517,1.2413793103448276,0.27586206896551724,0.5517241379310345,2.0689655172413794,8.413793103448276,6.482758620689655,50,48,0.13793103448275862,0.0,4.275862068965517,4.275862068965517,3.310344827586207,4.137931034482759,0.0,0.41379310344827586,0.0,1.2413793103448276,0.6666666666666666,0.0,0,0,0.0,0.0,0.0,0.0,73.0,71.0,205.0,225.0,0,1,0,0,0.0,0,1,0,0,0,26,4,26,16,0,0,0,0,0,0,0,0,1,0,0,0
